,id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
44549,18886,0.0,2011-07-13,Do,0,DO,31.60594802,-1.81671004,Kwa Benjamin,0,Lake Victoria,Nyakabanga,Kagera,18,3,Muleba,Ikondo,0,True,GeoData Consultants Ltd,VWC,N,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
10758,52694,0.0,2011-07-13,Concern World Wide,0,DWE,31.20091965,-2.90034421,Shuleni,0,Lake Tanganyika,Lusahunga Kati,Kagera,18,4,Biharamulo,Lusahunga,0,True,GeoData Consultants Ltd,VWC,,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
33559,60443,0.0,2011-07-13,Benguka,0,BENGUKA,31.62859126,-1.14565299,Seka Goma,0,Lake Victoria,Nguvu Kazi,Kagera,18,30,Ngara,Rusumo,0,True,GeoData Consultants Ltd,WUG,Nyakabila spring source,False,0,gravity,gravity,gravity,wug,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
54280,72684,0.0,2011-07-13,Kaemp,0,DWE,31.21346499,-2.88360428,Nkumbuye,0,Lake Tanganyika,Kamzunzu,Kagera,18,4,Biharamulo,Lusahunga,0,True,GeoData Consultants Ltd,VWC,Kamzunzu Water Supply,True,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
35933,45729,0.0,2011-07-13,Ded,0,DED,31.69289399,-2.52750449,Kwa Mzee Malekela,0,Lake Victoria,Kazunguti A,Kagera,18,8,Chato,Nyamirembe,0,True,GeoData Consultants Ltd,VWC,Kazunguti,True,0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non functional
25239,38281,25.0,2011-07-13,Dw,1537,DWE,31.04285784,-7.50390779,Ndanyole,0,Lake Tanganyika,Shuleni,Rukwa,15,3,Nkasi,Namanyere,1,True,GeoData Consultants Ltd,VWC,,False,2007,ksb,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,non functional
7710,18534,0.0,2011-07-13,Government Of Tanzania,0,DWE,31.49966756,-1.39757121,Msikitini,0,Lake Victoria,Rukunyu,Kagera,18,2,Bukoba Rural,Katoro,0,True,GeoData Consultants Ltd,VWC,KATORO PUMPING SCHEME,True,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
31840,18769,0.0,2011-07-13,Government Of Tanzania,0,RWE,31.68504399,-1.19503063,Kwaclemence,0,Lake Victoria,Nshaka,Kagera,18,7,Misenyi,Bugandika,0,True,GeoData Consultants Ltd,VWC,Bug,True,0,climax,other motorpump,motorpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,non functional
38954,21392,0.0,2011-07-13,Concern World Wide,0,DWE,31.21737964,-3.03475716,Kwa Obadia,0,Lake Tanganyika,Lusahunga Kati,Kagera,18,4,Biharamulo,Lusahunga,0,True,GeoData Consultants Ltd,VWC,Kaguruka Water Supply,True,0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
47046,10605,0.0,2011-07-13,Hewasa,0,DWE,31.47939364,-1.37594993,Kwa Jofrey,0,Lake Victoria,Ruhanga,Kagera,18,2,Bukoba Rural,Katoro,0,True,GeoData Consultants Ltd,VWC,KATORO PUMPING SCHEME,True,0,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
47994,56543,0.0,2011-07-13,National Rural,0,DWE,31.21579941,-3.03662018,Shuleni,0,Lake Tanganyika,Nyakanazi Kati,Kagera,18,4,Biharamulo,Lusahunga,0,True,GeoData Consultants Ltd,VWC,,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
59379,58255,0.0,2011-07-13,Do,0,DO,31.61328384,-1.82022635,Coffee Plantati,0,Lake Victoria,Kaluyango,Kagera,18,3,Muleba,Ikondo,0,True,GeoData Consultants Ltd,VWC,N,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
39230,66051,0.0,2011-07-13,Government Of Tanzania,0,DWE,31.09921953,-1.91701157,Tank La Shule 1,0,Lake Victoria,Kabare,Kagera,18,1,Karagwe,Nyakasimbi,0,True,GeoData Consultants Ltd,,,True,0,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
20111,37956,0.0,2011-07-13,Hesawa,0,DWE,31.1958301,-2.9015351000000003,Kwa Bruno Salvatory,0,Lake Tanganyika,Nyamahuna,Kagera,18,4,Biharamulo,Lusahunga,0,True,GeoData Consultants Ltd,VWC,Kaserebuka Water Supply,True,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
17621,59919,0.0,2011-07-13,Danida,0,Central government,33.92328718,-9.65571853,Zahanati,0,Lake Nyasa,Mbande,Mbeya,12,3,Kyela,Ngonga,0,True,GeoData Consultants Ltd,VWC,Ngana water supplied scheme,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
3199,39785,0.0,2011-07-13,Hesawa,0,DWE,31.19808915,-2.90587957,Mpakani,0,Lake Tanganyika,Nyamahuna,Kagera,18,4,Biharamulo,Lusahunga,0,True,GeoData Consultants Ltd,VWC,Kaserebuka Water Supply,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
46731,47353,0.0,2011-07-13,Government Of Tanzania,0,DWE,31.48535156,-1.40247696,Kwa Mzee Damiani,0,Lake Victoria,Kagasha,Kagera,18,2,Bukoba Rural,Katoro,0,True,GeoData Consultants Ltd,VWC,KATORO PUMPING SCHEME,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
26310,60657,0.0,2011-07-13,,0,,33.84238773,-9.16037806,Sokoni,0,Lake Nyasa,Nguka,Mbeya,12,4,Rungwe,Isange,0,True,GeoData Consultants Ltd,VWC,M,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
24630,8166,0.0,2011-07-13,Danida,0,Central government,33.92037518,-9.6642318,Office Ya Kijiji,0,Lake Nyasa,Isubha,Mbeya,12,3,Kyela,Ngonga,0,True,GeoData Consultants Ltd,VWC,Ngana water supplied scheme,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
28834,35011,0.0,2011-07-13,Concern World Wide,0,DWE,31.22332598,-3.03664219,Kwa Mama Marynas,0,Lake Tanganyika,Nyakanazi Kati,Kagera,18,4,Biharamulo,Lusahunga,0,True,GeoData Consultants Ltd,VWC,Kaguruka Water Supply,True,0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
41204,66585,0.0,2011-07-13,Hesawa,0,DWE,31.67028874,-1.24846722,Kwamuganyizi,0,Lake Victoria,Kamango,Kagera,18,7,Misenyi,Kitobo,0,True,GeoData Consultants Ltd,VWC,Nke,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
15471,21829,0.0,2011-07-13,,0,,33.8340785,-9.15405189,Kwa Mzee Juhudi,0,Lake Nyasa,Matamba Juu,Mbeya,12,4,Rungwe,Isange,0,True,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,non functional
9477,32617,0.0,2011-07-13,Dw,1517,DWE,31.04940826,-7.50584139,Full Gospel,0,Lake Rukwa,Utulivu,Rukwa,15,3,Nkasi,Namanyere,1,,GeoData Consultants Ltd,VWC,M,True,2008,gravity,gravity,gravity,unknown,unknown,never pay,never pay,soft,good,dry,dry,river,river/lake,surface,communal standpipe,communal standpipe,non functional
51425,42265,0.0,2011-07-13,Village Community,0,Village Community,31.658940500000003,-2.51631954,Mwabasabe,0,Lake Victoria,Igwata,Kagera,18,8,Chato,Nyamirembe,0,True,GeoData Consultants Ltd,WUA,,True,0,other,other,other,wua,user-group,other,other,milky,milky,insufficient,insufficient,shallow well,shallow well,groundwater,other,other,non functional
1508,55077,0.0,2011-07-13,Jica,0,DWE,31.11002625,-1.86979865,Kamanungu,0,Lake Victoria,Kamanungu,Kagera,18,1,Karagwe,Nyakasimbi,0,True,GeoData Consultants Ltd,,,True,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
42134,68103,0.0,2011-07-13,,0,,33.831909700000004,-9.16525553,Kwa Mzee Mwakifamba,0,Lake Nyasa,Iloba,Mbeya,12,4,Rungwe,Isange,0,True,GeoData Consultants Ltd,VWC,M,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
48356,2092,0.0,2011-07-13,Village Community,0,Village Community,31.65114824,-2.53301659,Kwa Mzee Charles,0,Lake Victoria,Shilabela,Kagera,18,8,Chato,Nyamirembe,0,True,GeoData Consultants Ltd,WUA,,True,0,other,other,other,wua,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non functional
40975,70112,0.0,2011-07-13,Government Of Tanzania,0,RWE,31.681040000000007,-1.18087318,Kwakabakama,0,Lake Victoria,Kyaigamba,Kagera,18,7,Misenyi,Bugandika,0,True,GeoData Consultants Ltd,VWC,Bug,True,0,climax,other motorpump,motorpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,non functional
53894,59356,0.0,2011-07-13,,0,,33.82695,-9.1577451,Kilabuni,0,Lake Nyasa,Ruhimbila,Mbeya,12,4,Rungwe,Isange,0,True,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,non functional
8042,39659,0.0,2011-07-13,Ded,0,DED,31.69101979,-2.52743555,Kwa Mzee Joseph,0,Lake Victoria,Kazunguti B,Kagera,18,8,Chato,Nyamirembe,0,True,GeoData Consultants Ltd,VWC,Kazunguti,True,0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non functional
21811,68903,0.0,2011-07-13,Benguka,0,BENGUKA,31.66596582,-1.2014354,Eliyakimu Makule,0,Lake Victoria,Nguvu Kazi,Kagera,18,30,Ngara,Rusumo,0,True,GeoData Consultants Ltd,WUG,Nyakabila spring source,False,0,gravity,gravity,gravity,wug,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
34005,70497,0.0,2011-07-13,Hesawa,0,DWE,31.65364711,-1.25681674,none,0,Lake Victoria,Mbale,Kagera,18,7,Misenyi,Kitobo,0,True,GeoData Consultants Ltd,VWC,Nke,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
49400,35631,0.0,2011-07-13,,0,,33.82807175,-9.16147065,Shule Ya Msingi Sanganilo,0,Lake Nyasa,Matamba Chini,Mbeya,12,4,Rungwe,Isange,0,True,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,non functional
14726,16137,0.0,2011-07-13,Hesawa,0,DWE,31.66254517,-1.24672901,Kwamsomolo,0,Lake Victoria,Kamango,Kagera,18,7,Misenyi,Kitobo,0,True,GeoData Consultants Ltd,VWC,Nke,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
18747,16895,0.0,2011-07-13,Benguka,0,BENGUKA,30.85079557,-2.49414077,Timotheo,0,Lake Victoria,Kasulo,Kagera,18,30,Ngara,Rusumo,0,True,GeoData Consultants Ltd,WUG,Nyakabila  spring source,False,0,gravity,gravity,gravity,wug,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
36712,45331,25.0,2011-07-13,Ru,1551,DWE,31.02371554,-7.49011594,Mama Selemani,0,Lake Tanganyika,Matunda,Rukwa,15,3,Nkasi,Namanyere,1,True,GeoData Consultants Ltd,VWC,,False,1995,nira/tanira,nira/tanira,handpump,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
4,19728,0.0,2011-07-13,Action In A,0,Artisan,31.13084671,-1.82535885,Shuleni,0,Lake Victoria,Kyanyamisa,Kagera,18,1,Karagwe,Nyakasimbi,0,True,GeoData Consultants Ltd,,,True,0,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
